City ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed
136,Svoge,BG,2022-04-04 02:28:12,42.9667,23.35,37.27,84,18,3.67
137,Hargeysa,SO,2022-04-04 02:28:12,9.56,44.065,66.16,47,60,2.68
138,Saint-Francois,FR,2022-04-04 02:23:34,46.4154,3.9054,33.24,80,0,2.3
139,Lumeje,AO,2022-04-04 02:28:13,-11.55,20.7833,66.78,90,100,2.93
140,Antsirabe,MG,2022-04-04 02:28:13,-19.85,47.0333,52.72,91,0,3.02
141,Lebu,CL,2022-04-04 02:21:46,-37.6167,-73.65,52.54,78,0,19.98
142,Khromtau,KZ,2022-04-04 02:28:13,50.2503,58.4347,35.85,76,100,5.82
143,Barkly West,ZA,2022-04-04 02:28:14,-28.5354,24.5215,60.08,74,0,14.97
144,Dingle,PH,2022-04-04 02:21:34,10.9995,122.6711,85.35,66,100,13.91
145,Havelock,US,2022-04-04 02:18:51,34.8791,-76.9013,64.35,38,0,10.36
146,Klaksvik,FO,2022-04-04 02:22:20,62.2266,-6.589,40.12,99,100,23.17
147,Moa,CU,2022-04-04 02:28:15,20.6569,-74.9403,76.35,86,35,6.35
148,Berlevag,NO,2022-04-04 02:23:15,70.8578,29.0864,19.2,75,100,10.36
149,Saint-Pierre,RE,2022-04-04 02:23:47,-21.3393,55.4781,74.88,85,0,3.44
150,East London,ZA,2022-04-04 02:20:17,-33.0153,27.9116,67.82,80,65,8.14
151,Akureyri,IS,2022-04-04 02:28:15,65.6835,-18.0878,31.93,74,100,6.91
152,Mikkeli,FI,2022-04-04 02:28:16,61.6886,27.2723,26.71,93,100,3.44
153,Tubuala,PA,2022-04-04 02:28:16,9.5167,-79.0333,80.17,82,100,12.37
154,Ancud,CL,2022-04-04 02:21:47,-41.8697,-73.8203,51.22,90,100,4.85
155,Truro,GB,2022-04-04 02:27:15,50.2653,-5.0544,47.48,71,95,12.66
156,Great Yarmouth,GB,2022-04-04 02:28:16,52.6083,1.7305,43.45,69,100,21.85
157,Sao Joao Da Barra,BR,2022-04-04 02:24:00,-21.6403,-41.0511,74.26,93,0,6.58
158,Puerto El Triunfo,SV,2022-04-04 02:28:17,13.2833,-88.55,83.32,75,56,7.36
159,Mosetse,BW,2022-04-04 02:28:18,-20.75,26.65,67.15,68,100,7.25
160,Nicoya,CR,2022-04-04 02:22:53,10.1483,-85.452,81.55,63,36,2.28
161,Poole,GB,2022-04-04 02:28:18,50.7167,-2.0,45.72,80,96,7.0
162,Cayenne,GF,2022-04-04 02:21:50,4.9333,-52.3333,79.09,1,100,4.61
163,Sikasso,ML,2022-04-04 02:28:18,10.9167,-7.0,82.22,54,91,3.67
164,Calama,CL,2022-04-04 02:21:57,-22.4667,-68.9333,53.73,31,0,1.72
165,Afua,BR,2022-04-04 02:28:19,-0.1567,-50.3867,75.36,94,100,4.21
166,Bonavista,CA,2022-04-04 02:22:35,48.6499,-53.1147,34.05,83,64,19.8
167,Lesnoye,RU,2022-04-04 02:28:19,58.2841,35.5158,21.76,96,63,3.87
168,Veraval,IN,2022-04-04 02:28:19,20.9,70.3667,77.85,66,1,6.02
169,Conop,RO,2022-04-04 02:28:20,46.1,21.8833,29.61,95,99,3.74
170,Ponta Do Sol,PT,2022-04-04 02:21:44,32.6667,-17.1,60.71,61,88,13.53
171,Pemba,MZ,2022-04-04 02:28:20,-12.974,40.5178,77.85,82,42,5.26
172,Codrington,AU,2022-04-04 02:21:53,-38.2667,141.9667,63.37,64,83,11.45
173,Colesberg,ZA,2022-04-04 02:28:21,-30.72,25.0972,59.41,66,0,6.42
174,Port Elizabeth,ZA,2022-04-04 02:21:46,-33.918,25.5701,63.32,90,89,1.01
175,Kudymkar,RU,2022-04-04 02:28:21,59.0173,54.656,33.3,98,100,10.94
176,Itupiranga,BR,2022-04-04 02:28:21,-5.1347,-49.3267,73.96,98,100,2.46
177,Hirna,ET,2022-04-04 02:28:22,9.2167,41.1,61.38,51,99,6.46
178,Nouakchott,MR,2022-04-04 02:23:59,18.0858,-15.9785,62.53,88,0,9.82
179,Darab,IR,2022-04-04 02:28:22,28.7519,54.5444,64.38,19,22,2.95
180,Gaya,IN,2022-04-04 02:23:11,24.7833,85.0,78.71,47,0,5.75
181,Sistranda,NO,2022-04-04 02:28:23,63.7256,8.834,30.16,87,100,9.48
182,Chute-Aux-Outardes,CA,2022-04-04 02:28:23,49.1168,-68.399,30.18,86,20,3.44
183,Malanje,AO,2022-04-04 02:22:38,-9.5402,16.341,63.16,92,100,1.9
184,Puerto Baquerizo Moreno,EC,2022-04-04 02:28:23,-0.9,-89.6,78.4,82,100,8.43
185,Benghazi,LY,2022-04-04 02:28:23,32.1167,20.0667,66.33,51,0,13.51
186,Mattru,SL,2022-04-04 02:28:24,7.6244,-11.8332,74.93,86,39,2.57
187,Azul,AR,2022-04-04 02:28:24,-36.777,-59.8585,50.34,54,2,7.11
188,Douentza,ML,2022-04-04 02:28:24,14.9951,-2.9517,80.98,11,79,0.94
189,Vestmanna,FO,2022-04-04 02:22:48,62.1564,-7.1664,38.32,87,75,16.11
190,Pisco,PE,2022-04-04 02:22:10,-13.7,-76.2167,66.25,82,0,9.22
191,Chillicothe,US,2022-04-04 02:27:30,39.3331,-82.9824,40.44,87,40,0.0
192,Necochea,AR,2022-04-04 02:21:42,-38.5473,-58.7368,50.88,50,0,14.36
193,Dadu,PK,2022-04-04 02:28:25,26.7329,67.7763,81.25,9,2,5.46
194,Kashi,CN,2022-04-04 02:28:25,39.4547,75.9797,56.41,35,1,8.95
195,Bubaque,GW,2022-04-04 02:21:35,11.2833,-15.8333,74.84,72,4,20.8
196,Ust-Ishim,RU,2022-04-04 02:28:25,57.6935,71.1665,36.55,94,100,9.62
197,Verkhnyaya Inta,RU,2022-04-04 02:28:26,65.9811,60.3094,21.09,77,100,22.82
198,Freeport,US,2022-04-04 02:28:26,40.6576,-73.5832,44.58,69,40,13.8
199,Bangolo,CI,2022-04-04 02:28:26,7.0069,-7.475,73.54,88,100,3.49
200,Debre Birhan,ET,2022-04-04 02:28:26,9.6833,39.5333,50.43,60,95,2.75
