City ID,City,Country,Max_Temp,Weather description,Lat,Lng,Hotel Name
447,Carutapera,BR,81.82,overcast clouds,-1.195,-46.02,Lidera
451,Angra Dos Reis,BR,80.31,clear sky,-23.0067,-44.3181,Mercure Angra dos Reis
454,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
455,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
456,Gambela,ET,79.09,broken clouds,8.25,34.5833,Solomon Debebe Hotel
458,Bac Lieu,VN,78.55,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
464,Bontang,ID,77.36,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
469,Isangel,VU,78.98,overcast clouds,-19.55,169.2667,Tanna Lodge
471,Yondo,CO,84.69,broken clouds,7.0062,-73.9097,estacion sayab sede la felicidad
474,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
479,Presidente Venceslau,BR,85.95,overcast clouds,-21.8761,-51.8439,K. Hotéis
481,Matara,LK,77.07,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
483,Vieques,PR,86.85,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
485,Mormugao,IN,83.46,few clouds,15.4,73.8,Coconut Creek Resort
487,Singaraja,ID,77.83,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
488,Mauganj,IN,84.96,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
491,Sur,OM,81.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
493,Vao,NC,79.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
499,Odweyne,SO,77.54,scattered clouds,9.4092,45.064,Eng Hiirey House
500,Alugan,PH,80.01,overcast clouds,12.2188,125.4808,JM Lodge
503,Bodden Town,KY,87.8,scattered clouds,19.2833,-81.25,Will T Place
509,Guaira,BR,87.28,broken clouds,-20.3183,-48.3106,Hotel do Lago
