City ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
217,Vysokogornyy,50.1167,139.15,29.86,94,100,0.87,RU,overcast clouds
218,Dusetos,55.75,25.85,37.45,79,100,15.82,LT,overcast clouds
219,Esperance,-33.8667,121.9,58.84,76,76,15.46,AU,broken clouds
220,Kpandu,6.9954,0.2931,86.2,62,100,8.01,GH,overcast clouds
221,Endicott,42.0984,-76.0494,46.56,67,20,9.22,US,few clouds
222,Hwange,-18.3693,26.5019,69.13,91,94,1.01,ZW,light rain
223,Las Vegas,36.175,-115.1372,84.61,15,0,4.61,US,clear sky
224,Meulaboh,4.1363,96.1285,76.37,86,100,2.86,ID,overcast clouds
225,Lagos,6.5833,3.75,86.32,76,90,6.85,NG,overcast clouds
226,Gemena,3.25,19.7667,78.87,62,86,2.84,CD,overcast clouds
227,Nanortalik,60.1432,-45.2371,37.4,77,100,1.72,GL,overcast clouds
228,Kupino,54.3663,77.2981,36.07,81,100,8.99,RU,overcast clouds
229,Lazaro Cardenas,17.9583,-102.2,81.12,55,45,10.54,MX,scattered clouds
230,Alihe,50.5667,123.7167,25.84,89,100,6.42,CN,snow
231,Cabo San Lucas,22.8909,-109.9124,77.61,67,46,3.0,MX,scattered clouds
232,Kurumkan,54.3,110.3,7.52,89,14,4.85,RU,few clouds
233,Port Blair,11.6667,92.75,80.64,83,40,0.0,IN,mist
234,Aykhal,66.0,111.5,-1.77,100,100,4.52,RU,overcast clouds
235,Aketi,2.7388,23.7833,74.73,82,25,2.8,CD,scattered clouds
236,Taoudenni,22.6783,-3.9836,90.1,13,0,9.08,ML,clear sky
237,Vila Velha,-20.3297,-40.2925,85.95,75,20,12.66,BR,few clouds
238,Semnan,35.5729,53.3971,70.83,19,54,4.88,IR,broken clouds
239,Saint Anthony,45.0205,-93.218,42.93,77,75,6.91,US,broken clouds
240,Grand Gaube,-20.0064,57.6608,79.38,84,100,4.0,MU,overcast clouds
241,Tabory,58.5198,64.5495,33.73,100,100,2.35,RU,overcast clouds
242,Amapa,1.0,-52.0,72.9,99,100,5.17,BR,overcast clouds
